fast,slow,CAGR,Sharpe(ann),MaxDD
5,15,0.08523353915767218,0.5765905529939135,-0.1285573411577411
3,60,0.06789546236110056,0.479237046305486,-0.10526318823770708
10,60,0.005832243603193454,0.11748255618459849,-0.13982842048100308
5,60,-0.051801273148239346,-0.23787794309655827,-0.18702699256584898
10,30,-0.052321300482559785,-0.24268941108201578,-0.20785537266986143
3,30,-0.05696116397847306,-0.2705293933217219,-0.2063224098449028
3,15,-0.05985206100145468,-0.28900959264342607,-0.1809388724658033
5,30,-0.08870326571839104,-0.47746424893451817,-0.22104246566479702
10,15,-0.12398823079440224,-0.7160611625768396,-0.22381424226806568
